version_name,#files in version,#bugged files in version,bugged_ratio,version_date
release-0.1.0,1734,1778,1.025374855824683,2012-05-24
release-1.0-RC0,1478,0,0.0,2013-04-12
release-1.0.0-RC2,1478,56,0.037889039242219216,2013-04-14
release-1.0.0-RC3,1468,835,0.5688010899182562,2013-04-15
release-1.1.0-RC0,1153,177,0.15351257588898526,2014-06-26
release-1.1.0-RC1,1065,1,0.0009389671361502347,2014-10-26
release-1.1.0-RC2,1064,553,0.5197368421052632,2014-10-31
rel/1.2.0-RC0,430,4,0.009302325581395349,2016-10-06
